Construction BOQ,جدول كميات البناء
Construction BOQ Item,بند جدول كميات البناء
Construction Work Item,بند عمل إنشائي
Cost Code,كود التكلفة
WBS Element,عنصر هيكل تجزئة العمل
Procurement Control Settings,إعدادات ضبط المشتريات
Measurement Book,دفتر القياسات
Measurement Entry,قيد قياس
Interim Payment Certificate,مستخلص مقاول
Interim Payment Certificate Line,بند مستخلص مقاول
IPC Deduction,استقطاع مستخلص
Contractor Account,حساب المقاول
Contractor Ledger Entry,حركة كشف المقاول
Retention Register,سجل المحتجزات
Advance Register,سجل الدفعات المقدمة
Guarantee Register,سجل الضمانات
Project Financial Snapshot,الملخص المالي للمشروع
Project Cash Flow Forecast,توقع التدفق النقدي للمشروع
Project Cash Flow Forecast Period,فترة توقع التدفق النقدي للمشروع
Project EVM Metrics,مؤشرات القيمة المكتسبة للمشروع
Real Estate Project,مشروع عقاري
Building,مبنى
Floor,طابق
Unit Type,نوع الوحدة
Unit,وحدة عقارية
Property Owner,مالك عقاري
Property Ownership,ملكية عقارية
Unit Cost Allocation,توزيع تكلفة الوحدات
Unit Cost Allocation Line,بند توزيع تكلفة الوحدات
Financial Dimension Settings,إعدادات الأبعاد المالية
Accounting Dimensions,الأبعاد المحاسبية
Executive Control Center,مركز التحكم التنفيذي
Construction Control,التحكم في البناء
Procurement & Site Warehouses,المشتريات ومخازن الموقع
Measurement & IPC,القياسات والمستخلصات
Contractor Management,إدارة المقاولين
Real Estate Inventory,المخزون العقاري
Sales & Rental,المبيعات والتأجير
Reports & Analytics,التقارير والتحليلات
Financial Snapshot,الملخص المالي
Cash Flow Forecast,توقع التدفق النقدي
EVM Metrics,مؤشرات القيمة المكتسبة
Contractor Exposure,تعرضات المقاولين
Unit Profitability,ربحية الوحدات
Project Performance Reports,تقارير أداء المشروع
Basic Information,المعلومات الأساسية
Classification,التصنيف
Project / Relationship,المشروع والعلاقة
Status,الحالة
Notes,ملاحظات
Document Information,بيانات المستند
Project and Contractor,المشروع والمقاول
Measurement Period,فترة القياس
Status / Workflow,الحالة وسير الاعتماد
Totals,الإجماليات
Project / Unit / Party Details,بيانات المشروع والوحدة والطرف
Operational Details,البيانات التشغيلية
Financial Summary,الملخص المالي
References,المراجع والروابط
Snapshot Information,بيانات اللقطة
Budget / Cost,الميزانية والتكلفة
Progress / Forecast,التقدم والتوقع
Risk Indicators,مؤشرات المخاطر
Executive Summary,الملخص التنفيذي
Recommendations,التوصيات
Unit Identification,تعريف الوحدة
Location Hierarchy,التسلسل المكاني
Usage & Status,الاستخدام والحالة
Financial Expectations,التوقعات المالية
Cost Allocation & Profitability,توزيع التكلفة والربحية
Classification / Attributes,التصنيف والخصائص
Reservation Information,بيانات الحجز
Unit Details,بيانات الوحدة
Customer / Lead Details,بيانات العميل أو المهتم
Commercial Details,البيانات التجارية
Conversion Placeholders,حقول التحويل المستقبلية
Status / Control,الحالة والتحكم
Setup / Masters,الإعدادات والبيانات الرئيسية
BOQ,جدول الكميات
Work Items,بنود العمل
Progress / Advancement,التقدم والإنجاز
Construction Reports,تقارير الإنشاء
Settings,الإعدادات
Material Request / Purchase Flow,طلبات المواد ومسار الشراء
Site Warehouses / Stock,مخازن الموقع والمخزون
Measurement Entries,قيود القياس
Traceability,التتبع
Contractor Accounts,حسابات المقاولين
Contractor Ledger,كشف المقاول
Retention,المحتجزات
Advances,السلف
Guarantees,الضمانات
Contractor Reports,تقارير المقاولين
Building / Floor / Unit,المبنى والطابق والوحدة
